FID,site_id,site_on,site_at,corn_desc,city,county,publiccomm,dt_zone,parkride,adaaccess,ada_comm,busstop_yn,node_id,gate,T_Code,board_flag,alight_fla,Lat,Long
358,10887,121st Ave NW,Flintwood St,Near side E,COON RAPIDS,Anoka,Eliminated  11/17,N,N,Y,Eliminated  11/17,N,NULL, , ,0,0,45.1913499,-93.27385411
359,10886,121st Ave NW,Goldenrod St,Across from W,COON RAPIDS,Anoka, ,N,N,Y, ,Y, , , ,0,0,45.1914571,-93.27558022
360,10885,121st Ave NW,Goldenrod St,Near side E,COON RAPIDS,Anoka, ,N,N,Y, ,Y, , , ,0,0,45.1913309,-93.27580189
361,48511,121st Ave NW,Grouse St,Across from E,COON RAPIDS,Anoka, ,N,N,Y, ,N,NULL, , ,0,0,45.18998995,-93.30795122
362,48535,121st Ave NW,Grouse St,Near side W,COON RAPIDS,Anoka, ,N,N,Y, ,N,NULL, , ,0,0,45.19011896,-93.307645
363,48536,121st Ave NW,Hanson Blvd,Near side W,COON RAPIDS,Anoka, ,N,N,Y, ,Y,12HA, , ,0,0,45.19012894,-93.30821892
364,48510,121st Ave NW,Hanson Blvd,Far side E,COON RAPIDS,Anoka,Marathon Gas,N,N,Y,Marathon Gas,Y,12HA, , ,0,0,45.189992,-93.30822709
365,10884,121st Ave NW,Holly St NW,Near side W,COON RAPIDS,Anoka,Eliminated  11/17,N,N,Y,Eliminated  11/17,N,NULL, , ,0,0,45.19145412,-93.27681098
366,10883,121st Ave NW,Holly St NW,Near side E,COON RAPIDS,Anoka,Eliminated  11/17,N,N,Y,Eliminated  11/17,N,NULL, , ,0,0,45.1913219,-93.27714095
367,10882,121st Ave NW,Ilex St NW,Near side W,COON RAPIDS,Anoka, ,N,N,Y, ,Y, , , ,0,0,45.19131807,-93.27816025
368,10881,121st Ave NW,Ilex St NW,Near side E,COON RAPIDS,Anoka, ,N,N,Y, ,Y, , , ,0,0,45.19108888,-93.27842226
369,10880,121st Ave NW,Juniper St,Near side W,COON RAPIDS,Anoka,Eliminated  11/17,N,N,Y,Eliminated  11/17,N,NULL, , ,0,0,45.19084811,-93.27926307
370,10878,121st Ave NW,Kumquat St,Near side E,COON RAPIDS,Anoka, ,N,N,Y, ,Y, , , ,0,0,45.19037007,-93.27986987
371,10877,121st Ave NW,Larch St NW,Near side W,COON RAPIDS,Anoka, ,N,N,Y, ,Y, , , ,0,0,45.19026508,-93.28050993
372,10897,121st Ave NW,University Ave,Near side E,COON RAPIDS,Anoka, ,N,N,Y, ,Y, , , ,0,0,45.1908619,-93.26625017
373,10898,121st Ave NW,University Ave,Far side W,COON RAPIDS,Anoka, ,N,N,Y, ,Y, , , ,0,0,45.1909931,-93.26661588
374,10890,121st AveNW,Evergreen St,Across from W,COON RAPIDS,Anoka, ,N,N,Y, ,Y, , , ,0,0,45.19148918,-93.27241217
375,46352,122nd St,16th Ave,Near side W,BURNSVILLE,Dakota, ,N,N,Y,12/10 deleted MVTA bsi,N, , , ,0,0,44.78313409,-93.25143023
376,50726,122nd St,17th Ave,Near side E,BURNSVILLE,Dakota,Need site check,N,N,Y, ,Y, , , ,1,1,44.78302811,-93.25132031
377,46351,122nd St,Co Rd 11,Far side W,BURNSVILLE,Dakota,1/07 was SB/NS - MVTA bsi,N,N,Y, ,Y, , , ,1,1,44.78313116,-93.24836608
378,46360,122nd St,Oak Leaf / Westchester,Mid block N,BURNSVILLE,Dakota, ,N,N,Y,3/10 eliminated MVTA bsi,N, , , ,0,0,44.78181199,-93.25566117
379,46353,122nd St,Oak Leaf Court,Across from W,BURNSVILLE,Dakota,1/07 was MB Westchester/Oak Leaf  - MVTA bsi,N,N,Y, ,Y, , , ,1,1,44.78172898,-93.25582728
380,53502,122nd St,Parkwood Dr,Near side W,BURNSVILLE,Dakota,3/10 new 444 rtg,N,N,Y, ,Y, , , ,1,1,44.78132108,-93.25810824
381,50511,123rd St,Lynn Ave,Far side W,SAVAGE,Scott,Need site check,N,N,Y,9/05 abandoned,N, , , ,0,0,44.77846096,-93.33656697
382,44375,123rd St,Ottawa / Princeton Ave,Mid block W,SAVAGE,Scott, ,N,N,Y,9/05 abandoned,N, , , ,0,0,44.77846099,-93.34092916
383,52968,123rd St W,Natchez Ave,Far side E,SAVAGE,Scott,10/14 MVTA id 01449,N,N,Y,Glendale Place,Y, , , ,0,0,44.77835606,-93.33782422
384,52967,123rd St W,Ottawa Ave,Far side E,SAVAGE,Scott,10/14 MVTA id 01448,N,N,Y,#4735 - The Hamilton,Y, , , ,0,0,44.77836909,-93.33962299
385,56887,123rd St W,Ottawa Ave,Far side W,SAVAGE,Scott,New 8/19 123O,N,N,N,New 8/19 123O,Y,123O, , ,1,1,44.77846498,-93.34040516
386,56886,123rd St W,Princeton Ave,Near side E,SAVAGE,Scott,New 8/19 - 12SV,N,N,N,New 8/19 - 12SV,Y,12SV, , ,1,1,44.77834089,-93.3419851
387,56221,124th Ave NW,Gladiola St /Heather St NW,Mid block W,COON RAPIDS,Anoka,New Stop 3/16 S-19337,N,N,N,New Stop 3/16 S-19337 AX From Galadiola,Y, , , ,1,1,45.19619696,-93.34192309
388,56222,124th Ave NW,Gladiola St NW,Near side E,COON RAPIDS,Anoka,New Stop 3/16 S-19337,N,N,Y,New Stop 3/16 S-19337,Y, , , ,1,1,45.19611705,-93.34176398
389,46780,124th Ave NW,Northdale Blvd,Far side E,COON RAPIDS,Anoka,Need site check,N,N,Y, ,Y, , , ,1,1,45.19599795,-93.34633714
390,53027,124th St W,Glenhurst Ave,Far side W,SAVAGE,Dakota, ,N,N,Y,12/12 not MVTA bsi,N, , , ,0,0,44.77740293,-93.32999522
391,53028,124th St W,Inglewood Ave,Across from W,SAVAGE,Dakota,MVTA bsi,N,N,Y,12/12 not MVTA bsi,N, , , ,0,0,44.77739311,-93.33263331
392,53029,124th St W,Lynn Court Apts,Near side W,SAVAGE,Scott,MVTA bsi,N,N,Y,12/12 not MVTA bsi,N, , , ,0,0,44.77738714,-93.3347713
393,53501,124th St W,Natchez Ave,Near side W,SAVAGE,Scott,3/10 MVTA bsi,N,N,Y,12/12 not MVTA bsi,N, , , ,0,0,44.77736616,-93.33807236
394,53503,124th St W,Ottawa Ave,Near side W,SAVAGE,Dakota,3/10 MVTA bsi,N,N,Y,12/12 not MVTA bsi,N, , , ,0,0,44.77735913,-93.33986517
395,44379,125th St,Lynn Ave,Far side E,SAVAGE,Scott,4/09 was NS,N,N,Y, ,Y, , , ,0,0,44.77624392,-93.33618618
396,44378,125th St,Natchez Ave,Near side E,SAVAGE,Scott,Need site check,N,N,Y,9/05 abandoned,N, , , ,0,0,44.77624799,-93.33834503
397,44377,125th St,Ottawa Ave,Near side E,SAVAGE,Scott,Need site check,N,N,Y,9/05 abandoned,N, , , ,0,0,44.7762411,-93.34011821
398,44376,125th St,Princeton Ave,Far side E,SAVAGE,Scott,Need site check,N,N,Y,9/05 abandoned,N, , , ,0,0,44.77624199,-93.34165914
399,52186,125th St (Sibley St),Glenhurst Ave,Near side E,SAVAGE,Scott, ,N,N,Y, ,Y,12GL, , ,0,0,44.77678708,-93.32993319
400,52977,125th St W,Inglewood Ave,Near side W,SAVAGE,Scott,4/08 MVTA bsi,N,N,Y, ,Y, , , ,0,0,44.77635093,-93.33262998
401,52976,125th St W,Inglewood Ave,Near side E,SAVAGE,Scott,4/08 add MVTA bsi,N,N,Y,12/10 delete MVTA list,N, , , ,0,0,44.77624594,-93.33288329
402,52978,125th St W,Lynn Ave,Near side W,SAVAGE,Scott,4/08 add MVTA bsi,N,N,Y,12/10 delete MVTA list,N, , , ,0,0,44.77634495,-93.33618019
403,90073,125th St W,Robert St NB Control Point,Far side W,ROSEMOUNT,Dakota,Control Point test 8/19,N,N,N,Control Point test 8/19,N, , , ,0,0,44.76798987,-93.1225881
404,45806,127th St,Galaxie Ave,Near side E,APPLE VALLEY,Dakota, ,N,N,Y,9/07 - Reroute 476,N, , , ,0,0,44.76550509,-93.20743196
405,45805,127th St,Garland Ave,Across from E,APPLE VALLEY,Dakota, ,N,N,Y,9/07 - Reroute 476,N, , , ,0,0,44.76502001,-93.20908028
406,45804,127th St,Germane Ave,Near side E,APPLE VALLEY,Dakota, ,N,N,Y,9/07 - Reroute 476,N, , , ,0,0,44.76514095,-93.21454102
407,90146,127th St W,Galaxie Ave Control Pt,Far side W,APPLE VALLEY,Dakota,Control Pt 3/14,N,N,N, ,N, , , ,0,0,44.76569113,-93.20739876
408,9963,12th Ave,Southview Blvd,Near side S,SOUTH SAINT PAUL,Ramsey, ,N,N,Y,Node Only - No Stop,N,12SO, , ,1,1,44.88905287,-93.04883911
409,56274,12th Ave E,Canterbury Rd S,Near side E,SHAKOPEE,Scott,"New Stop RT 499, 5/16",N,N,Y,"New Stop RT 499, 5/16",Y, , , ,1,1,44.7848831,-93.47004018
410,3874,12th Ave E,Helen St N,Across from E,NORTH SAINT PAUL,Ramsey,9/12 street signs only 12th Ave NOT Castle Ave,N,N,Y,NS - 150 ft west,Y, , , ,1,1,45.01644793,-92.99526492
411,3914,12th Ave E,Helen St N,Near side W,NORTH SAINT PAUL,Ramsey,9/12 street signs only 12th Ave NOT,N,N,Y, ,Y, , , ,1,1,45.01659904,-92.99466231
412,3875,12th Ave E,Margaret St N,Near side E,NORTH SAINT PAUL,Ramsey,10/14 US Bench list,N,N,Y, ,Y, , , ,1,1,45.01651007,-92.99245107
413,56275,12th Ave E,Park Pl,Across from E,SHAKOPEE,Scott,"New Stop RT 499, 5/16",N,N,Y,"New Stop RT 499, 5/16",Y, , , ,1,1,44.78488915,-93.45849815
414,56273,12th Ave E,Seagate Technology,Mid block E,SHAKOPEE,Scott,"New Stop RT 499, 5/16, 3rd driveway eastbound",N,N,Y,"New Stop RT 499, 5/16, 3rd driveway eastbound",Y, , , ,1,1,44.78493613,-93.47519498
415,51696,12th Ave E,Valley Park Dr,Far side W,SHAKOPEE,Scott,1/15 MVTA id 01738 was SB Valley Park NS 12th,N,N,Y,Shakopee Industrial Park,Y,VP12, , ,0,0,44.78504411,-93.45141817
416,51691,12th Ave E (Access Rd),Canterbury Park,Near side N,SHAKOPEE,Scott,1/15 MVTA id 01735,N,N,Y, ,Y,CNTB, , ,0,0,44.79024097,-93.48473026
